Oxides,Lattice_type,Bulk_Modulus,Density,Heat_capacity,Debye_Temperature,Gruneisen_parameters,Egap,Poisson_ratio,Thermal_expansion,Unitcell_atoms,Speed_of_sound,Thermal_Conductivity
O4Rh2,9,216.937,6.8307,15.3765,582.06,2.25783,0,0.292882,3.33E-05,6,4331.18,11.6446
O3Pb1Zr1,2,149.057,7.71287,13.9779,416.941,2.08209,2.2831,0.28833,3.59E-05,5,3452.06,9.84373
Cs2O4Y2,4,84.1012,5.56123,23.2336,348.994,2.08279,2.8353,0.279562,5.20E-05,8,2922.41,4.1819
O3Rb1U1,2,126.845,7.22327,14.1076,391.977,1.98516,2.9093,0.276989,3.55E-05,5,3386.84,10.1735
Nb3O3,2,232.592,7.05532,14.7294,637.128,2.02955,0,0.24206,2.28E-05,6,5046.31,24.5568
Cd4O12Ti4,6,180.303,5.99856,52.1785,551.972,2.08799,2.6187,0.295943,3.57E-05,20,4178.63,4.97296
O3Sn1Ti1,2,163.746,5.64874,13.1249,541.049,2.05623,1.7288,0.285751,3.57E-05,5,4325.93,12.9608
Nb4O14Sn4,3,166.324,5.72543,55.453,603.108,2.08069,1.0459,0.22237,3.04E-05,22,4519.59,7.65654
Ba1O4S1,3,95.6691,3.84765,16.775,434.966,2.06817,4.5103,0.303997,4.90E-05,6,2488.62,5.87666
O4W2,9,276.801,10.426,15.4858,557.047,2.11099,0,0.269699,2.35E-05,6,4211.59,19.1694
Ag4K4O4,1,33.8962,3.86428,38.3059,233.823,2.33473,1.504,0.309263,0.000128648,12,1952.02,0.691056
O12Se4Sr4,6,93.7696,4.42482,57.3543,383.897,2.06869,3.8366,0.324718,5.37E-05,20,2272.56,1.96625
Cd4O8Rb8,6,40.105,4.70755,62.911,215.957,2.21737,1.3563,0.334848,0.000107384,20,1864.6,0.492799
Br1Li3O1,2,43.5217,3.01647,14.5097,454.188,1.89027,4.2806,0.205538,0.000131379,5,3777.94,5.08135
Ba1O3Tb1,2,83.5963,6.46587,14.5037,337.042,1.83816,0,0.271682,4.94E-05,5,2942.74,7.16706
La3O7Ta1,7,148.528,6.66341,30.3029,442.959,2.03587,3.6497,0.282821,3.22E-05,11,3556.46,6.99383
N8Ni4O24,2,132.098,2.8443,94.3997,557.813,2.11036,3.2388,0.357672,4.79E-05,36,2449.15,1.67057
Dy4O14Ru4,3,187.734,7.85734,59.5295,483.999,2.13383,0.553,0.295453,3.42E-05,22,3703.12,4.26953
O6W2,9,212.967,6.67335,20.4198,577.104,2.10517,0.7391,0.261764,2.40E-05,8,4104.21,15.3918
O4Sn2,6,157.623,6.32339,16.5493,466.003,2.40753,0.3843,0.309461,4.37E-05,6,3693.84,6.18729
C1Li4O4,1,98.3277,1.87179,21.1591,728.386,1.87805,4.6927,0.307004,5.88E-05,9,4477.3,6.5548
O8V2Y2,1,155.411,4.08029,31.4493,538.137,1.95964,2.9571,0.324975,3.26E-05,12,3819.28,6.43648
Na6O9S2,3,87.2151,2.48395,45.2843,550.148,2.11095,3.0301,0.305308,6.39E-05,17,3169.13,2.77532
Al4O12Y4,6,192.898,5.19488,47.2784,699.102,1.96509,5.5421,0.254463,3.12E-05,20,5086.4,8.78906
Cl4Cs4O16,2,53.1016,2.93744,71.0828,348.189,2.20665,5.3337,0.297443,7.66E-05,24,1433.77,1.12733
Cd4Nb4O14,3,189.458,6.50184,60.9154,435.886,2.08891,1.9621,0.361121,3.44E-05,22,3204.76,2.66189
Cr4O8,2,188.924,4.95407,28.3709,710.98,2.2088,0,0.266121,3.99E-05,12,5195.09,8.31568
O4S1Sr1,3,102.04,3.24891,17.0107,402.943,2.03149,3.9262,0.369511,4.92E-05,6,2284.17,3.73259
Er6Ga2O12,7,155.895,8.4373,56.0507,411.057,2.0061,3.5672,0.300327,3.75E-05,20,3062.42,3.74371
As2O8Sc2,1,166.403,4.14902,29.8189,632.186,2.1371,3.5213,0.290516,3.54E-05,12,4401.75,7.49817
Ba1O3Th1,2,95.5368,6.4528,14.493,311.004,1.7397,2.9236,0.304672,3.39E-05,5,2880.17,8.21256
Cr2O8V2,7,169.826,3.78281,27.7622,728.78,2.01844,1.8322,0.255485,3.05E-05,12,4185.73,11.8175
As2Hg1O6,4,155.297,6.82062,25.7497,391.014,2.33928,0.7446,0.35738,4.87E-05,9,2611.75,2.8438
Cd2In4O8,1,127.171,6.73527,40.3943,363.076,2.18534,1.0847,0.337258,4.75E-05,14,2901.46,2.42846
Mo2O12Rh4,9,227.281,6.52266,47.1105,543.991,2.22262,0.0544,0.329861,3.11E-05,18,3910.92,4.68684
Cr2K2O4,4,116.806,4.04124,20.4956,602.152,2.16131,2.7688,0.23914,5.09E-05,8,4534.28,8.42349
O24Si12,2,114.446,1.76068,84.266,711.087,1.95684,4.9689,0.283089,2.88E-05,36,4530.97,4.68816
Ca2O2,4,81.5229,2.77483,11.1643,445.101,1.99004,3.1113,0.32435,5.53E-05,4,3841.69,6.46607
La2O2S1,4,100.579,5.53298,14.2745,370.097,2.03472,2.9693,0.282314,3.86E-05,5,3271.63,7.93424
O4Si2,3,141.055,1.92307,14.4819,662.904,1.8583,5.3686,0.338724,2.51E-05,6,5737.83,13.6454
Mn1Ni6O8,3,167.219,5.93715,38.6321,581.087,2.0437,1.2282,0.279984,4.25E-05,15,4118.99,6.02782
